Date,Year,Time,nestlingID,Color,NID,Habitat,Site,Individual.ID,Nestling.FWB,Female.FWB,Male.FWB,Male.Band.Combo,Egg.Mass,Young.Day,Old.Day,Day,Species,Mass,Tarsus.1,Tarsus.2,Tarsus.3,Tarsus.Average,Wingchord,wingchord.2,Wingchord.3,Wingchord.average,total.pin,pin.once.broken,feather.once.broken,Bill.Width,Bill.Length,Bill.Depth,tail.pin,Tail,Head,Measure,nest.para,nest.fate,nest.predation,bhco.nestling,bhco.hab
5/13/2018,2018,9:10,01CRL18_DD,DD,01CRL18,Urban,South VT,201806SOSP,277149472,277149457,277149427,,NA,0,0,0,SOSP,1.7,5.8,6.1,6.3,6.066666667,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/13/2018,2018,9:10,01CRL18_RR,RR,01CRL18,Urban,South VT,201807SOSP,277149473,277149457,277149427,,NA,0,0,0,SOSP,2.6,6.5,6.5,6.4,6.466666667,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/13/2018,2018,9:10,01CRL18_KK,KK,01CRL18,Urban,South VT,201804SOSP,277149474,277149457,277149427,,NA,0,0,0,SOSP,1.8,7,7.1,6.7,6.933333333,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/13/2018,2018,9:10,01CRL18_KG,KG,01CRL18,Urban,South VT,201805SOSP,277149475,277149457,277149427,,NA,0,0,0,SOSP,1.7,6.8,6.5,6.6,6.633333333,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/15/2018,2018,10:50,01CRL18_DD,DD,01CRL18,Urban,South VT,201806SOSP,277149472,277149457,277149427,,NA,1,2,2,SOSP,4.8,10,9.8,9.5,9.766666667,NA,NA,NA,9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/15/2018,2018,10:50,01CRL18_RR,RR,01CRL18,Urban,South VT,201807SOSP,277149473,277149457,277149427,,NA,1,2,2,SOSP,5,9.1,9,9.3,9.133333333,NA,NA,NA,8.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/15/2018,2018,10:50,01CRL18_KK,KK,01CRL18,Urban,South VT,201804SOSP,277149474,277149457,277149427,,NA,1,2,2,SOSP,4.6,10,10,10.1,10.03333333,NA,NA,NA,8.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/15/2018,2018,10:50,01CRL18_KG,KG,01CRL18,Urban,South VT,201805SOSP,277149475,277149457,277149427,,NA,1,2,2,SOSP,4.8,9.8,9.6,9.6,9.666666667,NA,NA,NA,8.3,1,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/17/2018,2018,11:13,01CRL18_DD,DD,01CRL18,Urban,South VT,201806SOSP,277149472,277149457,277149427,,NA,3,4,4,SOSP,7.6,12.9,12.9,13.2,13,NA,NA,NA,13.8,2.8,NA,NA,3.6,3.5,3.3,NA,NA,NA,SJL,no,success,no,no,urban.no
5/17/2018,2018,11:13,01CRL18_RR,RR,01CRL18,Urban,South VT,201807SOSP,277149473,277149457,277149427,,NA,3,4,4,SOSP,8.7,12.8,12.8,12.9,12.83333333,NA,NA,NA,14.5,3.2,NA,NA,3.4,3,3.7,NA,NA,NA,SJL,no,success,no,no,urban.no
